Country,Age,M,F
AU,0,79.5,84.0
AU,1,78.9,83.3
AU,2,77.9,82.4
AU,3,77.0,81.4
AU,4,76.0,80.4
AU,5,75.0,79.4
AU,6,74.0,78.4
AU,7,73.0,77.4
AU,8,72.0,76.4
AU,9,71.0,75.4
AU,10,70.0,74.4
AU,11,69.0,73.4
AU,12,68.0,72.4
AU,13,67.0,71.4
AU,14,66.0,70.4
AU,15,65.1,69.4
AU,16,64.1,68.5
AU,17,63.1,67.5
AU,18,62.1,66.5
AU,19,61.2,65.5
AU,20,60.2,64.5
AU,21,59.2,63.5
AU,22,58.3,62.5
AU,23,57.3,61.6
AU,24,56.3,60.6
AU,25,55.4,59.6
AU,26,54.4,58.6
AU,27,53.5,57.6
AU,28,52.5,56.6
AU,29,51.5,55.7
AU,30,50.6,54.7
AU,31,49.6,53.7
AU,32,48.7,52.7
AU,33,47.7,51.7
AU,34,46.7,50.8
AU,35,45.8,49.8
AU,36,44.8,48.8
AU,37,43.9,47.8
AU,38,42.9,46.9
AU,39,42.0,45.9
AU,40,41.0,44.9
AU,41,40.1,44.0
AU,42,39.1,43.0
AU,43,38.2,42.1
AU,44,37.3,41.1
AU,45,36.3,40.1
AU,46,35.4,39.2
AU,47,34.5,38.2
AU,48,33.6,37.3
AU,49,32.7,36.4
AU,50,31.7,35.4
AU,51,30.8,34.5
AU,52,29.9,33.5
AU,53,29.1,32.6
AU,54,28.2,31.7
AU,55,27.3,30.8
AU,56,26.4,29.9
AU,57,25.5,28.9
AU,58,24.7,28.0
AU,59,23.8,27.1
AU,60,23.0,26.2
AU,61,22.1,25.3
AU,62,21.3,24.5
AU,63,20.5,23.6
AU,64,19.7,22.7
AU,65,18.9,21.8
AU,66,18.1,21.0
AU,67,17.3,20.1
AU,68,16.5,19.3
AU,69,15.7,18.4
AU,70,15.0,17.6
AU,71,14.3,16.8
AU,72,13.6,16.0
AU,73,12.9,15.2
AU,74,12.2,14.4
AU,75,11.5,13.7
AU,76,10.9,12.9
AU,77,10.2,12.2
AU,78,9.6,11.5
AU,79,9.0,10.8
AU,80,8.5,10.1
AU,81,7.9,9.4
AU,82,7.4,8.8
AU,83,6.9,8.2
AU,84,6.5,7.6
AU,85,6.0,7.1
AU,86,5.6,6.6
AU,87,5.3,6.1
AU,88,4.9,5.6
AU,89,4.5,5.2
AU,90,4.2,4.8
AU,91,3.9,4.5
AU,92,3.7,4.1
AU,93,3.5,3.8
AU,94,3.3,3.6
AU,95,3.1,3.4
AU,96,3.0,3.2
AU,97,2.9,3.0
AU,98,2.7,2.9
AU,99,2.6,2.8
AU,100,2.5,2.7
